"mdl_url","title_en","year","eps","title_zh","genres","tags"
"/66371-unforgettable-love","Unforgettable Love",2021,24,"贺先生的恋恋不忘","Comedy, Romance, Drama","Contract Relationship, Rich Male Lead, Rich Man/Poor Woman, Male Chases Female First, Childhood Trauma, Healing, Multiple Couples, Overbearing CEO, Cold Man/Warm Woman, Adapted From A Web Novel"
"/26895-ren-bu-biao-han-wang-shao-nian","When We Were Young",2018,24,"人不彪悍枉少年","Romance, Life, Youth","Smart Male Lead, Nice Male Lead, Poor Male Lead, Adapted From A Novel, 1990s, High School, Strong Female Lead, Sports, Student Supporting Character, Student Female Lead"
"/51565-a-river-runs-through-it","A River Runs Through It",2021,36,"上游","Comedy, Romance, Life, Youth","Friendship, Friends To Lovers, Slow Burn Romance, Unrequited Love, Adapted From A Novel, Mother-Daughter Relationship, Father-Son Relationship, High School To Working Life, Bromance, High School"
"/23171-legend-of-fu-yao","Legend of Fu Yao",2018,66,"扶摇","Romance, Wuxia, Fantasy","Badass Female Lead, Strong Female Lead, Badass Male Lead, Female Lead Action Scenes, Smart Male Lead, Hidden Identity, Adapted From A Novel, Sword-fight, Male Chases Female First, Secondary Couple"
"/66455-moonlight","Moonlight",2021,36,"月光变奏曲","Business, Comedy, Romance, Drama","Hardworking Female Lead, Tsundere, Cohabitation, Meet Online, Jealousy, Childish Male Lead, Nice Male Lead, First Love, Writer Male Lead, Secondary Couple"
"/13857-love-me-if-you-dare","Love Me If You Dare",2015,24,"他来了, 请闭眼","Thriller, Mystery, Psychological, Romance","Tragic Past, Murder, Adapted From A Novel, Investigation, Sherlock And Watson, Eccentric Male Lead, Rich Man/Poor Woman, Bromance, Criminal Profiler Male Lead, Detective Fiction"
"/40353-maiden-holmes","Maiden Holmes",2020,32,"少女大人","Historical, Mystery, Comedy, Romance","Cross-Dressing, Friendship, Smart Female Lead, Nice Male Lead, Hidden Identity, Martial Arts, Strong Male Lead, Male Chases Female First, Healthy Mains’ Relationship, Secondary Couple"
"/15338-the-princess-wei-young","The Princess Wei Young",2016,54,"锦绣未央","Historical, Romance, Drama, Political","Hidden Identity, Power Struggle, Smart Female Lead, Sibling Rivalry, Revenge, Nice Male Lead, Death, First Love, Adapted From A Novel, Stolen Identity"
"/685039-my-calorie-boy","My Calorie Boy",2022,30,"我的卡路里男孩","Comedy, Romance, Youth","Friendship, School Setting, Supportive Female Lead, Healthy Mains’ Relationship, High School, Friends To Lovers, Web Series, Coming Of Age, Adapted From A Novel, Sports"
"/38807-yu-sheng-qing-duo-zhi-jiao","The Oath of Love",2022,32,"余生，请多指教","Romance, Life, Youth, Drama","Medical, Adapted From A Novel, Illness, Healthy Mains’ Relationship, Father-Daughter Relationship, Older Man/Younger Woman, Music, Stomach Cancer, Disapproving Parent, Hardship"
